Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Unlocking Medical Terminology,"By Wingerd, Bruce D.","Building medical terms is much like piecing together a puzzle of prefixes, suffixes and combining forms.  In the same way, human anatomy is an intricate puzzle of body parts, interlocking with each other to form a complex set of systems.   Unlocking Medical Terminology embraces these analogies, as it guides users through the assembly of medical terms in a FUN, engaging, and interactive way.  This resource provides interesting and engaging applications presented in an interactive, self-study format to increase the user's understanding of medical terminology. Included are: decoder key to reveal the hidden answers on each exercise page, Crossword puzzles and word jumbles in each  chapter, Case studies, Challenging games and quizzes, along with flashcards, videos, and animations on a feature-packed CD-ROM that comes free with each book. A step-by-step approach allows users to learn the core elements of medical terminology: word parts, anatomy & physiology, and word building. Each step includes:  “Word Parts Focus”, “Getting to the Root of It” and “Let’s Construct Terms”. This title also features artwork by F. Netter, M.D.  All health professionals and medical terminology students."," Medical , Dictionaries & Terminology",PRENTICE HALL,7.56,April,2005
"Living a Healthy Life with Chronic Conditions:Self Management of Heart Disease, Arthritis, Diabetes, Asthma, Bronchitis, Emphysema and others (Third Edition)","By Holman, Halsted, Laurent, Diana, Gonzalez, Virginia, Sobel, David, and Lorig, Kate (EDT)","Is it possible to live a healthy life despite a chronic illness? The surprising answer is yes, according to this enduringly popular book. Filled with hundreds of tips, suggestions, and strategies, Living a Healthy Life with Chronic Conditions offers practical solutions in clear language. The book explains how to develop and maintain exercise and nutrition programs, manage symptoms, determine when to seek medical help, work effectively with doctors, using medications and minimizing side effects, finding community resources, discussing the illness with family and friends, and tailoring social activities to particular conditions. Written by six medical professionals, Living a Healthy Life with Chronic Conditions encourages an individual approach to the process, with the ultimate goal being greater self-management. Originally based on a five-year study conducted at Stanford University with hundreds of volunteers, this work has grown to include the feedback of medical professionals and people with chronic conditions all over the world."," Medical , Diseases",Bull Publishing Company,6.24,September,2006
American Academy of Pediatrics: Immunizations & Infectious Diseases: An Informed Parent's Guide,"By Fisher, Margaret C., M.D. (EDT)","Informed by the expertise of the American Academy of Pediatrics, this authoritative guide to immunizations and infections in children covers a wide range of subject matter in easy-to-understand terms. Divided into four parts, this resource covers immunizations, antibiotics, prevention, and infection control, and also gives summaries of various infectious diseases. Readers will learn what exactly an infectious disease is; the differences between bacteria, viruses, fungi, and parasites; and about contagions and incubation times. Parents, school nurses, librarians, and anyone else who comes into contact with children will find this handbook indispensable. A 2004 Childhood Immunization Schedule and a sample child vaccination record are also included."," Medical , Pediatrics",American Academy of Pediatrics,4.99,November,2005
"Mayo Clinic Family Health Book, Revised Second Edition","By Larson, David E. (EDT) and Mayo Clinic (COR)","Since its initial publication in 1990, Mayo Clinic Family Health Book has become a classic guide to your health concerns. U.S. News & World Report judged it the ""number one book of its kind,"" and The New York Times stated, ""Deserves a place on the shelf next to the dictionary and the encyclopedia."" Now, revised and updated, with a new emphasis on selfhelp and prevention, this generously illustrated volume from one of the most trusted names in medicine offers the latest in medical expertise for your home reference. Part I: Your Health Through the Years Here you'll find explanations of human growth and development, descriptions of health problems that you or your loved ones may face, and an informative Color Atlas of Human Anatomy. Part II: Staying Well Filled with prevention strategies, this section details nutrition, fitness, stress management, safety, and other subjects essential for healthy living. Part III: First Aid and Emergency Care This section offers accessible guidance on how you can respond to conditions ranging from sunburn and cuts to chest pain and choking. Part IV: Human Diseases and Disorders Includes detailed discussions of the symptoms, diagnosis, and treatment of more than 1,000 diseases and disorders, as well as the health concerns of men and women. An all-new Color Guide to the Diagnosis and Treatment of Common Disorders reveals facts about back pain, high blood pressure, breast lumps, prostate problems, joint trouble, genetics, and more. A Photographic Guide to Common Skin Disorders depicts almost 100 common ailments. Part V: Modern Medical Care This section offers perspectives on how to obtain the best medical care from our changing health care system, including information about tests, medications, cancer treatment, home care, and dealing with death. Appendices Look here for handy conversiontions of medical terms; names, addresses, and phone numbers of organizations offering health information; and guidance on how you can prepare a living will or a durable power of attorney for health care. Mayo Clinic is known worldwide for providing comprehensive diagnosis, accurate answers, and detailed explanations to people seeking treatment for both common and uncommon medical problems. This reputation began more than 100 years ago when Mayo Clinic founders Drs. William and Charles Mayo established a system for a doctor to thoroughly investigate patient problems by seeking the opinions and help of other Mayo physicians. Today, Mayo Clinic experts in virtually every medical specialty work together to meet patients' needs. With this depth of medical experience, Mayo* occupies a unique position as a health information resource. Mayo Clinic's major outpatient and hospital facilities are located in Rochester, Minnesota; Jacksonville, Florida; and Scottsdale, Arizona. Other landmark Mayo Clinic books include Mayo Clinic Complete Book of Pregnancy & Baby's First Year and Mayo Clinic Heart Book."," Medical , Reference",William Morrow,11.76,January,1996
"Managing the Symptoms of Multiple Sclerosis, Fourth Edition","By Schapiro, Randall T.","Schapiro (neurology, University of Minnesota in Minneapolis) discusses each symptom associated with MS and its management.  Along with its symptom-by-symptom coverage, the guide also offers an overview of the disease and relates it to the patient's total health. Appendices include a glossary and illustrated guides for exercise and mobility. Annotation (c) Book News, Inc., Portland, OR (booknews.com)"," Medical , Neurology",Demos Health,5.29,June,2003
Insurance Handbook for the Medical Office,"By Fordney, Marilyn Takahashi","Keep current with all the latest changes with this complete resource! Trusted by medical insurance instructors and billers for more than 30 years, Insurance Handbook for the Medical Office helps you excel at all aspects of insurance billing for a full range of today's health care plans. In full color, this edition includes all the new regulations, such as the latest information on HIPAA, diagnostic coding, procedural coding, bill collection strategies, and Medicare.Meticulously reviewed by a panel of industry experts. Emphasis on the business of running a medical office highlights the importance of the medical insurance specialist's role in filing clean claims, solving problems, and collecting overdue payments.Key terms are bolded at first mention, explained within the context of the discussion, and defined in the glossary.Key points summarize important chapter content. Block-by-block explanations and examples demonstrate the correct way to complete the CMS-1500 claim form.Completed sample insurance forms apply concepts to real life. Unique payer icons clarify CMS claim form completion. Form icons and Computer icons ease the transition from paper to electronic filing.Special HIPAA Alerts ensure compliance with governmental privacy regulations.Guidelines for the filing and submission of electronic claims include the do's and don'ts for the electronic environment.Service to Patient features discuss ways to provide quality service to the patient as well as to your co-workers.A documentation chapter covers the principles of documentation and shows how proper documentation can prevent penalties and refund requests, and help you prove compliance in the case of an audit or review.An Evolve website includes supplemental Medisoft activities, self-assessment quizzes, updates of content, and web links for further research and study.A workbook contains learning tips, review exercises, cases, and critical thinking activities for hands-on experience with real-world cases. (Available separately.)Updated learning objectives correlate directly to the text, making it easier to study and to measure your progress.New CMS-1500 form filler software on Evolve provides additional exercises for hands-on practice."," Medical , Medical History & Records",Saunders,8.79,October,2009
Menopause For Dummies,"By Jones, Marcia L., Ph.D. and Eichenwald, Theresa, M.D.","As baby boomers hit their late forties and fifties, women are entering menopause in record numbers. Soon, for the first time in history, there will be more women beyond menopause than have yet to go through it. Yet, amazingly, getting reliable, practical information about menopause isn’t easy. Usually the only information you’re likely to find is in the glossy brochures from pharmaceutical companies scattered around your gynecologist’s waiting room. If you’re really persistent, you can hunt down an article or two in medical journals, but it’s a safe bet that you’ll be sound asleep long before you find straightforward answers even to one of your practical questions.Whether you’re going through the change, have already been there, or are about to start off down that road, you’ll find the information you need in Menopause For Dummies. In plain English, it covers all the health issues and therapy choices that confront women during the menopausal years. It helps y ou:Put menopause in perspectiveUnderstand how it can affect your body, emotions ,and libidoEvaluate your risk of diseaseKnow all your therapy optionsMake sense of the hormone therapy debateAsk intelligent questions and discuss your alternatives with you doctorMake smarter life-style choicesLive a long, healthy lifeMenopause For Dummies gives you accurate, up-to-date information from the most credible sources, including the latest medical studies, without a lot of technical jargon. You get straightforward advice and guidance on:Recognizing the signs of menopausePreventing and treating osteoporosisCardiovascular disease and menopauseVaginal and urinary changes during menopauseThe effects of menopause on your skin, hair, and nasal cavitiesMenopause and your sex lifeHormone therapy and heart disease, breast cancer, and other cancersAlternative therapiesMenopause and good nutritionThe benefits of exercise during menopauseMenopause is not a disease, and it doesn’t have to be a harbinger of accelerated aging and declining health. Menopause For Dummies gives you the information you need to take charge of your menopause and make this transition as comfortable and healthy as possible."," Medical , Gynecology & Obstetrics",For Dummies,5.29,November,2002
The Menopause Manager : A Safe Path for a Natural Change,"By Mayo, Mary Ann and Mayo, Joseph L.","A woman's guide to surviving menopause shows women how to manage this difficult transition, covering medical options, psychological health, risk factors, and much more. Original."," Medical , Gynecology & Obstetrics",Fleming H. Revell,5.29,September,2000
A Sigh of Relief: The First-Aid Handbook For Childhood Emergencies,"By Green, Martin I.","An authoritative guide to childhood emergencies, injuries, and illnesses provides a thumb-indexed guide to more than one hundred first-aid procedures, featuring step-by-step, illustrated directions, as well as tips on poison control, injury prevention, and other key topics. Original."," Medical , Gynecology & Obstetrics",Bantam,10.99,October,1994
Boyd's Introduction to the Study of Disease,"By Sheldon, Huntington","The Eleventh Edition of Boyd's Introduction to the Study of Disease now contains a substantial amount of material in the appendices--condensing the material in the text--making it a great resource for the student already familiar with normal physiology and essential biology. New to this edition is information on: the cytoskeleton, care of the patient, HIV virus and AIDS, aging, Helicobacter and gastric ulcer, changes in infectious disease patterns, oncogenes and cancer, cytokines, and the eosinophilia-myalgia syndrome. There is also data on changing patterns in breast and gastric cancer, as well as epidemiological shifts in heart attacks, strokes, streptococcal disease, measles, and other common diseases."," Medical , Anatomy",Lea & Febiger,7.41,June,1988
Intuitive Biostatistics,"By Motulsky, Harvey","Designed to provide a nonmathematical introduction to biostatistics for medical and health science students, graduate students in the biological sciences, physicians, and researchers, this text explains statistical principles in non-technical language and focuses on explaining the proper scientific interpretation of statistical tests rather than on the mathematical logic of the tests themselves.   Intuitive Biostatistics covers all the topics typically found in an introductory statistics text, but with the emphasis on confidence intervals rather than P values, making it easier for students to understand both. Additionally, it introduces a broad range of topics left out of most other introductory texts but used frequently in biomedical publications, including survival curves. multiple comparisons, sensitivity and specificity of lab tests, Bayesian thinking, lod scores, and logistic, proportional hazards and nonlinear regression.  By emphasizing interpretation rather than calculation, this text provides a clear and virtually painless introduction to statistical principles for those students who will need to use statistics constantly in their work. In addition, its practical approach enables readers to understand the statistical results published in biological and medical journals."," Medical , Biostatistics",Oxford University Press,4.99,October,1995
Workbook for Essentials of Human Diseases and Conditions,"By Frazier, Margaret Schell and Drzymkowski, Jeanette Wist","Word definition and glossary term exercises, short answer and fill-in-the-blank questions, anatomic structure identification exercises, patient screening and patient teaching critical thinking questions, essay questions, and certification exam review questions provide a solid learning tool."," Medical , Diseases",Saunders,4.99,February,2008
The Natural Estrogen Diet: Healthy Recipes for Perimenopause and Menopause,"By Ojeda, Linda and Liew, Lana","Explains how phytoestrogens help control menopausal symptoms, and includes recipes for foods rich in natural estrogen"," Medical , Gynecology & Obstetrics",Hunter House,5.29,April,1999
Tales of the Earth: Paroxysms and Perturbations of the Blue Planet,"By Page, Jake and Officer, Charles","In Maryland, late in the spring of 1816, the snow fell brown, and blue, and even red. Brown snow fell in Hungary that year, and in the village of Taranto in southern Italy, where any snow is rare, the red and yellow snow caused great alarm. In New England, 1816 was called the Year Without a Summer. Crops failed throughout America, the price of corn and wheat soared, and farmers (lacking feed) sold off livestock, bringing about a collapse in beef and pork prices. In Western Europe, it was even worse, a major disaster, with food riots and armed groups raiding bakeries and grain markets. This turmoil followed a catastrophic volcanic eruption a year earlier on the other side of the world--the April 1815 explosion of the volcano called Tambora, on the Indonesian island of Sumbawa--a blast heard almost a thousand miles away in Sumatra.    In Tales of the Earth, Charles Officer and Jake Page describe some of the great events of environmental history, from natural catastrophes such as the Tambora eruption, the Lisbon earthquake of 1755 (the greatest in recorded history), and the ice ages, to disasters such as the nuclear fallout from Chernobyl, acid rain, and the progressive depletion of the ozone layer. Officer and Page present much of their narrative through eye-witness accounts or through the commentary of prominent figures (in discussing the Lisbon earthquake, for instance, they recount the famous clash between Voltaire and Rousseau over the meaning of the disaster, and in discussing the Black Plague, they quote Boccaccio, whose Decameron was set during ""the late deadly pestilence""). The authors provide fascinating discussions of meteorites and comets; of the demise of mammoths, mastodons, and dinosaurs; and of great floods that have swept the earth.     But if nature can make trouble for humanity, Officer and Page show that human activity can also make trouble for nature. They examine the depletion of natural resources (we burn coal and oil at millions of times their natural rate of production), air pollution in such major urban areas as Los Angeles and London (where the Killer Smog of 1952 caused the death of some four thousand people), and the pollution of major waterways, like the Chesapeake Bay and Lake Erie. And they explore the global impact of such phenomena as depletion of the ozone layer, acid rain, population growth, and the greenhouse effect.  Ranging from catastrophic eruptions at Santorini and Krakatoa to manmade disasters such as the mercury poisoning in Japan's Minamata Bay, Tales of the Earth will interest anyone concerned with the environment and the natural world."," Medical , Gynecology & Obstetrics",Oxford University Press,5.42,July,1993
Laboratory and Diagnostic Tests: with Nursing Implications,"By Kee, Joyce Lefever","Organized alphabetically by test, this reference guide provides quick and reliable access to information on over 420 laboratory tests and diagnostic procedures. With additional information provided for each procedure and extensive nursing implications with client teaching material, this book is an invaluable resource for nursing students and professionals alike."," Medical , Laboratory Medicine",Pearson,5.04,March,2009
Anatomy (Quickstudy Reference Guides - Academic),"By Barcharts, Inc. (COR)","Complete labeled illustrations of over 1,400 anatomical identifications. Loaded with beautifully illustrated diagrams clearly and concisely labeled for easy identification. Illustrations by award-winning medical illustrator Vincent Perez."," Medical , Anatomy",QuickStudy,4.99,December,2000
The Thyroid Sourcebook for Women,"By Rosenthal, M. Sara","Thyroid hormones are important to the functioning of a healthy body; but when the thyroid gland supplies too much, too little, or stops producing these vital hormones, many problems can occur. Women make up almost 80 percent of thyroid disorder patients; and when the thyroid gland starts to malfunction the repercussions for women are particularly serious.  M. Sara Rosenthal, the acclaimed author of The Thyroid Sourcebook, focuses on the thyroid's effect on the body, what treatments are available, and how to cope effectively with a chronic thyroid condition."," Medical , Endocrinology & Metabolism",McGraw-Hill,5.29,November,1999
Workbook for Pharmacology: Principles and Applications: A Worktext for Allied Health Professionals,"By Fulcher, Eugenia M., Fulcher, Robert M., and Soto, Cathy Dubeansky","Reinforce learning and practice key concepts with WORKBOOK FOR PHARMACOLOGY: PRINCIPLES AND APPLICATIONS: A WORKTEXT FOR ALLIED HEALTH PROFESSIONALS, 2nd Edition. This worktext is designed to strengthen your understanding of basic terminology, dosage calculation, medication administration, and more to make learning easier than ever.Critical Thinking Exercises provide you with thought provoking questions on how to deal with a variety of realistic situations.Math Calculation Exercises offer additional practice to help you master often-difficult concepts.Drug Dosage and Calculation exercises give you an opportunity to better understand key concepts and applications."," Medical , Pharmacology",Saunders,5.73,February,2008
"Prevention's Symptom Solver for Dogs and Cats: From Arfs and Arthritis to Whimpers and worms, An Owner's Cure Finder","By Hoffman, Matthew (EDT)","Dogs and cats can't tell us where (or if) it hurts, so it's up to us to figure out what's going on and to make them feel better. This comprehensive handbook tells you how to diagnose and treat everything that can go wrong with your canine and feline friends, from finicky eating and barking to blood-shot eyes and limping. Organized by specific body parts and types of behavior, each entry lists symptoms, their possible causes, what you can do, and what your vet will do. A glossary of the most common conditions is included in each chapter."," Medical , Veterinary Medicine , Small Animal",Rodale Books,5.88,February,1999
Immunology: A Short Course,"By Benjamini, Eli, Sunshine, Geoffrey, and Coico, Richard","Now in its FIFTH EDITION, this widely acclaimed textbook has been updated and revised to incorporate new findings.  Providing a concise yet thorough introduction to immunology, this text continues to provide complete coverage of all key topics in modern immunology without overburdening the reader with excessive detail or theoretical discussions.  Each chapter is divided into short, self-contained units that address key topics illustrated by uniformly drawn, full color illustrations. In addition to updating all of the chapters, IMMUNOLOGY: A SHORT COURSE, FIFTH EDITION includes completely rewritten coverage of such key topics as complement, immunodeficiencies, and lymphoid neoplasms.  Written in a clear, user-friendly style, this text is suitable for integrated courses that cover microbiology, immunology and pathology, as well as focused immunology courses."," Medical , Immunology",Wiley-Liss,4.99,October,2003
Sexually Transmitted Diseases: A Physician Tells You What You Need to Know (A Johns Hopkins Press Health Book),"By Marr, Lisa, M.D.","Offers accurate information on STDs and discusses anatomy, transmission, symptoms, medical treatment, terminology, and prevention"," Medical , Infectious Diseases",Johns Hopkins University Press,5.29,November,1998
The Healing Consciousness: A Doctor's Journey to Healing,"By Dupree, Beth Baughman","Beth Baughman DuPree, M.D. spent years developing the skills of a surgeon, only to discover that Western medicine is only a part of the process for addressing cancer and other diseases.  The wisdom of complementary medicine is a basic tool for healing the whole patient."," Medical , Oncology",Wovenword Press,5.29,May,2006
"Mosby's Pocket Dictionary of Medicine, Nursing, & Allied Health",By Mosby,"The revised and updated New Edition distills all of the essential information from Mosby's Medical, Nursing, & Allied Health Dictionary, 6th Edition. It's still the only the only pocket-sized dictionary with a strong emphasis on nursing terminology. Comprehensive, compact, and affordable, it includes 3,000 new definitions (with 10,000 revised definitions), word roots and pronunciations for many entries, screened thumb tabs, and much more!Spanish version of 1st edition also available, ISBN: 84-8174-301-1"," Medical , Reference",Mosby,5.58,February,2002
Best of Incredibly Easy! (Incredibly Easy! Series®),By Springhouse (COR),"Using the award-winning Incredibly Easy! style, Best of Incredibly Easy! is an entertaining, practical, comprehensive reference on a wide range of topics that are vital to modern nursing practice. The book presents the most important topics and concepts from many of the other Incredibly Easy! Series® volumes, using a highly visual format, with numerous illustrations, recurring logos, memory joggers, bulleted lists, and charts to reinforce learning. Each chapter ends with an NCLEX®-style quick quiz, and study questions and answers appear at the end of the book. Appendices include a glossary, an English-Spanish quick-reference guide, and a listing of Web resources."," Medical , History",LWW,6.12,September,2005
Sherris Medical Microbiology : An Introduction to Infectious Diseases,"By Ryan, Kenneth J. (EDT) and Ray, C. George (EDT)","The leading microbiology text! Thoroughly revised and updated, this book provides students with a solid grasp of etiologic agents, pathogenic processes, epidemiology, and the basis of major therapy. Includes complete discussions of the major bacterial, viral, fungal, and parasitic pathogens. Highlighted marginal notes and clinical applications are included throughout."," Medical , Microbiology",McGraw-Hill Medical,8.32,July,2003
Ultrasonography in Obstetrics and Gynecology,"By Callen, Peter W.","Now in its 4th Edition, ULTRASONOGRAPHY IN OBSTETRICS AND GYNECOLOGY remains the definitive source in ultrasonography in obstetrics and gynecology. Now with more high-quality illustrations than ever, this 4th Editionprovides an easy -to-read reference guide featuring numerous line drawings, extensive tables, color Doppler, and color medical illustrations."," Medical , Gynecology & Obstetrics",Saunders,12.09,June,2000
The Hypothyroid Sourcebook (Sourcebooks),"By Rosenthal, M. Sara","Hypothyroidism is one of the most common forms of thyroid disease. Myriad symptoms are attributed to this disease, including extreme fatigue, depression, headaches, chest pain, constipation, muscle spasms, weight gain, and more. Written by an acclaimed health author afflicted with hypothyroidism, The Hypothyroid Sourcebook offers in-depth explanations of the thyroid and the disease. The book discusses the pros and cons of possible treatments and provides an extensive list of additional resources."," Medical , Endocrinology & Metabolism",McGraw-Hill Education,5.29,April,2002
Pediatric Nutrition Handbook,"By Kleinman, Ronald E., M.D. (EDT)","All the latest and best in nutrition support—in one place for quick and easy access! Prepared by the AAP Committee on Nutrition with contributions from more than 70 experienced practitioners, this superb ready-reference puts today’s most current nutrition-related information at your fingertips—the latest evidence-based guidelines on feeding healthy infants and children; all-new chapters on nutrition support of patients with liver disease and inflammatory bowel disease; recent advances and developments on breastfeeding, fast foods, vegetarian diets, newborn diarrhea, food labeling, preterm infant nutrition needs, and chronic obesity; the newest food guide pyramids—now called MyPyramid; newly developed growth standards from the World Health Organization for healthy breastfed infants and young children; and more than 20 growth charts for very low and low birth weights, full-term infants, children, and adolescents."," Medical , Pediatrics",American Academy of Pediatrics,9.89,October,2008
"Clinical Nuclear Cardiology, 1e","By Beller, George A., M.D.","Organized on a disease basis, rather than by technique, this book provides the physician with all the information needed pertinent to decision making.  Also presents the cost/benefit strategies for cost-effective diagnosis evaluations."," Medical , Cardiology",Saunders,37.48,January,1995
Pediatric Environmental Health,"By Etzel, Ruth Ann (EDT), Balk, Sophie J. (EDT), and Eztel, Ruth A. (EDT)","Completely revised and expanded, the new 3rd edition is the comprehensive AAP  guide to the identification, prevention, and treatment of pediatric  environmental health problems.From playground  to classroom, at home and across town, environmental hazards are all around us –  an unfortunate fact of modern life.  And  no one is more vulnerable to the adverse health effects these hazards can cause  than our children.  It’s no wonder that  environmental hazards are among parents’ top health concerns for their children.  Yet little time is spent training physicians and other caregivers to recognize,  prevent, and treat ailments resulting from exposure to harmful substances and  environments.   This comprehensive guide puts critical  children’s health information and answers to parents’ questions at your  fingertips.  From asbestos to radiation,  ultraviolet rays, pesticides, asthma, lead, tobacco, childcare and school  environments – plus new chapters on global climate change, plasticizers,  developmental disabilities, environmental disasters, and more – current  information on an exhaustive range of environmental health issues is included.   The 3rd edition  features 59 topic-based chapters including the addition of 18 new  chapters. Contents:-  Background:  Addressing Environmental Health in Primary Care-  History and  Growth of Pediatric Environmental Health-  Children's  Unique Vulnerabilities to Environmental Hazards-  Individual  Susceptibility to Environmental Toxicants-  Taking an  Environmental History and Giving Anticipatory Guidance-  Medical  Laboratory Testing of Body Fluids and Tissues-  Environmental  Measurements Environments-   Preconceptional and Prenatal Exposures-  Built  Environment-  Child Care  Settings-   Schools-  Waste  Sites-  Work  Places-  Environmental  Health Considerations for Children in Developing Nations, and Implications for  Immigrants and Adoptees Food and  Water-  Breast  Milk-  Phytoestrogen  and Contaminants in Infant Formula"," Medical , Pediatrics",Amer Academy of Pediatrics,5.64,February,2004
Macular Degeneration : The Complete Guide to Saving and Maximizing Your Sight,"By Mogk, Lylas G. and Mogk, Marja",A guide to reducing the risk factors for macular degeneration and dealing with the onset of the disease covers all the newest procedures and even assists readers in dealing with the depression that often accompanies the illness. Reissue.," Medical , Diseases",Ballantine Books,5.29,March,1999
The KidsHealth Guide for Parents : Birth to Age 5,"By Bass, Elizabeth, Dowshen, Steven A., M.D., and Izenberg, Neil","Accessible, authoritative advice from the creators of the award-winning KidsHealth websiteNow the pediatricians behind the celebrated KidsHealth.org website which averages one million hits a day have created an exciting general children's health reference. Packed with solid advice from medical experts and seasoned parents, The KidsHealth Guide helps new parents master the basics of keeping their children healthy and gives veterans a chance to conveniently review the essentials. User-friendly and fun, this comprehensive guide offers authoritative answers without intimidating length. Lists, tip boxes, decision trees, and bite-size segments with clear headings allow parents--especially the newer, frazzled kind--to find what they need fast. Covers everything from prenatal care, and to common illnesses, emergencies, safety, growth and development, chronic conditions, special needs, medications, nutrition, and invaluable suggestions on making effective and affordable use of the health care system."," Medical , Pediatrics",McGraw-Hill,6.04,December,2001
"Washington Manual of Medical Therapeutics, 31st Edition","By Green, Gopa B. (EDT), Harris, Ian S. (EDT), Lin, Grace A. (EDT), and Moylan, Kyle (EDT)","Established for over 40 years as the ""Bible"" of the medical ward, The Washington Manual® of Medical Therapeutics is now in its Thirty-First Edition and builds upon that proud tradition—with even more of the current information clinicians need, with a focus on inpatient care, delivered in a timesaving, quick-reference style. This edition includes the latest facts on nosocomial infections, West Nile virus, and agents of bioterrorism; the latest management of AIDS/HIV; and current JNC VII guidelines for management of hypertension. Drug appendices have a new quick-scanning format for rapid information retrieval.  This edition is also available electronically for handheld computers. See Media listing for details.  The Washington Manual® is a registered mark belonging to Washington University in St. Louis to which international legal protection applies. The mark is used in this publication by LWW under license from Washington University."," Medical , Reference",Lippincott Williams & Wilkins,5.43,March,2004
Understanding and Managing Your Child's Food Allergies (A Johns Hopkins Press Health Book),"By Sicherer, Scott H.","For children with food allergies, eating—one of the basic functions of life—can be a nightmare. Children who suffer or become dangerously ill after eating peanuts, seafood, milk, eggs, wheat, or a host of other foods require constant vigilance from caring, concerned parents, teachers, and friends.In this empathetic and comprehensive guide, Dr. Scott H. Sicherer, a specialist in pediatric food allergies, gives parents the information they need to manage their children’s health and quality of life. He describes why children develop food allergy, the symptoms of food allergy (affecting the skin, the gastrointestinal tract, and the respiratory system), and the role of food allergy in behavioral problems and developmental disabilities. Parents will learn how to recognize emergency situations, how to get the most out of a visit with an allergist, what allergy test results mean, and how to protect their children—at home, at school, at summer camp, and in restaurants.Informative, compassionate, and practical, this guide will be indispensable for parents, physicians, school nurses, teachers, and everyone else who cares for children with food allergies."," Medical , Pediatrics",Johns Hopkins University Press,5.29,November,2006
Harriet Lane Handbook: A Manual for Pediatric House Officers,"By Siberry, George K., M.D. (EDT) and Iannone, Robert (EDT)","The HARRIET LANE HANDBOOK is the essential resource for health care professionals who work with children. Diagnostic guidelines, recommended tests, therapeutics, and dosage schedules are presented in a readily accessible, pocket-sized format. The New Edition includes new chapters on Psychiatry, Surgery, and Oncology, fully updated drug information with lactation and safety in pregnancy information, and full trade name and generic name drug index.* Presents diagnostic guidelines, recommended tests, therapeutics and drug dosage schedules for a true one-stop reference of clinical pediatric information. * Includes more than 300 illustrations, table and charts for easy reference of key information. * Presents the latest guidelines, practices and recommendations in a style appropriate for busy clinical practice. * Features a comprehensive formulary with the latest approved drugs.  NEW TO THIS EDITION: * Includes three new chapters on Psychiatry, Surgery and Oncology. * Features thoroughly updated chapters with the latest pediatric information. * Includes lactation and safety in pregnancy information with the revised formulary for one easy-to-access, pocket-size reference. * Provides a trade name and generic name drug index."," Medical , Pediatrics",Mosby,5.47,January,2000
Anesthesia and Co-Existing Disease,"By Stoelting, Robert K. and Dierdorf, Stephen F., M.D.","The 3rd Edition features a separate chapter on asthma and extensively expanded sections on peripheral nerve injury, anticoagulation and regional anesthesia, diabetes mellitus, and malignant hyperthermia."," Medical , Anesthesiology",Churchill Livingstone,7.67,May,1993
Basic & Clinical Pharmacology,"By Katzung, Bertram G.","This best selling book delivers the most current, complete, and authoritative pharmacology information to students and practitioners. All sections are updated with new drug information and references. New! Many new figures and diagrams, along with boxes of highlighted material explaining the ""how and why"" behind the facts."," Medical , Pharmacology",Appleton & Lange,9.89,September,2000
